// Compost colors for simplyjetpacks. You may add your own colors, change existing ones, or remove colors that aren't needed.
armorplating_ie1, #fff8ff
armorplating_ie2, #d9d9d9
armorplating_ie3, #a0a0a0
armorplating_mek1, #98c5ae
armorplating_mek2, #f4d9d9
armorplating_mek3, #cff4fe
armorplating_mek4, #b69bc8
armorplating_te1, #ffffff
armorplating_te2, #ffcf76
armorplating_te3, #f1ffff
armorplating_te4, #157fa5
armorplating_te5, #ffffe6
armorplating_te5_enderium, #4e8386
cryogenic_crystal, #66ffff
flux_chestplate, #b97651
jetpack_creative, #f2d0fa
jetpack_creative_armored, #b151c6
jetpack_ie1, #fffffe
jetpack_ie1_armored, #e3d7c9
jetpack_ie2, #ffffff
jetpack_ie2_armored, #e7eae1
jetpack_ie3, #e6e1e1
jetpack_ie3_armored, #a5a29d
jetpack_mek1, #f5ffff
jetpack_mek1_armored, #b8d3d9
jetpack_mek2, #fff8ff
jetpack_mek2_armored, #c3cad7
jetpack_mek3, #f2ffff
jetpack_mek3_armored, #b5d3e3
jetpack_mek4, #fef7ff
jetpack_mek4_armored, #c0c9e1
jetpack_potato, #ffffd9
jetpack_te1, #79689d
jetpack_te1_armored, #b9b1d0
jetpack_te2, #ccbcb4
jetpack_te2_armored, #e3bf97
jetpack_te3, #f2c368
jetpack_te3_armored, #fff0bc
jetpack_te4, #346b80
jetpack_te4_armored, #227998
jetpack_te5, #ffffbe
jetpack_te5_enderium, #2f8cab
jetpack_vanilla1, #fcf4f4
jetpack_vanilla1_armored, #a8a1a1
jetpack_vanilla2, #fff4cf
jetpack_vanilla2_armored, #e7cf72
jetpack_vanilla3, #dcf8f4
jetpack_vanilla3_armored, #7dd9cd
jetpack_vanilla4, #d4c8ca
jetpack_vanilla4_armored, #55474b
leather_strap, #805e47
particle_blend, #6e6e70
particle_flame, #ffffff
particle_none, #ffffff
particle_rainbow, #ffffff
particle_smoke, #ffffff
particle_snow, #ffffff
particle_soul, #62d0d4
pilot_goggles_gold, #8ca266
pilot_goggles_iron, #76a4aa
thruster_ie1, #ffffff
thruster_ie2, #ffffff
thruster_ie3, #e0d3cc
thruster_mek1, #feffff
thruster_mek2, #ffffff
thruster_mek3, #f4ffff
thruster_mek4, #fffeff
thruster_te1, #734473
thruster_te2, #bfa2a0
thruster_te3, #ffbe66
thruster_te4, #435570
thruster_te5, #fec35f
thruster_vanilla1, #fff4f2
thruster_vanilla2, #fff4c0
thruster_vanilla3, #d7fbf4
thruster_vanilla4, #d7bbbe
unit_cryogenic, #edffff
unit_glowstone, #ffffe4
unit_glowstone_empty, #ffffff
